store_id,timezone_str
8.13992624246019E+018,Asia/Beirut
5.4159496285443E+018,America/Boise
3.40852957001705E+018,America/Denver
9.05564975195277E+018,America/Denver
4.42837208919359E+018,America/Denver
2.68995941153512E+018,America/Denver
8.29799649092244E+018,America/Denver
1.05056554539167E+018,America/Denver
3.48393078127206E+018,America/Denver
1.74022206850998E+018,America/Denver
2.85901298506383E+018,America/Denver
3.82836196408189E+018,America/Denver
5.78964088197091E+018,America/Denver
5.72305960218369E+018,America/Denver
4.37829333310716E+018,America/Denver
8.77865170012889E+018,America/Denver
6.66693442291939E+018,America/Denver
6.16316591973916E+018,America/Denver
2.19059910629842E+018,America/Denver
2.2252199382202E+018,America/Denver
5.92515957070935E+018,America/Denver
8.17522995139738E+018,America/Denver
4.29266049188016E+018,America/Denver
6.73380012218975E+018,America/Denver
7.46373442335894E+018,America/Denver
7.62285296609596E+018,America/Denver
6.16091479527819E+018,America/Denver
3.38646328301262E+017,America/Denver
8.64097249036019E+018,America/Denver
9.05801954130177E+018,America/Denver
4.3813115955759E+018,America/Denver
2.24890525311099E+018,America/Denver
7.96858460026495E+018,America/Denver
1.65583806335776E+018,America/Denver
2.11889405398256E+018,America/Denver
8.4717000993579E+018,America/Denver
8.37252464531458E+018,America/Denver
5.552924050445E+018,America/Denver
6.9214528233753E+018,America/Denver
4.52916969443497E+018,America/Denver
2.78702035583545E+018,America/Denver
8.97147543558462E+018,America/Denver
1.23688857665396E+018,America/Denver
2.73925032577758E+018,America/Denver
3.11462896626723E+018,America/Denver
2.95822165806068E+018,America/Denver
7.97261999937664E+018,America/Denver
7.78627733474151E+018,America/Denver
7.2631297281131E+018,America/Denver
1.50175224830532E+018,America/Denver
7.95962602409367E+018,America/Denver
5.6709775552416E+018,America/Denver
1.80111636506597E+018,America/Denver
5.93821852149428E+018,America/Denver
7.50675731121852E+018,America/Denver
7.90231976965648E+018,America/Denver
5.3658916067759E+018,America/Denver
7.73162811427274E+018,America/Denver
2.87095284584505E+018,America/Denver
4.68412016980944E+018,America/Denver
8.91089898158871E+018,America/Denver
8.52388991042806E+018,America/Denver
8.7504934803833E+018,America/Denver
8.78334063278287E+018,America/Denver
3.54744383536059E+018,America/Denver
8.95958392914488E+018,America/Denver
2.9741097066334E+018,America/Denver
9.2003252063344E+018,America/Denver
7.66574060843723E+018,America/Denver
5.44709575240647E+018,America/Denver
2.46505907494256E+017,America/Denver
8.80389479608429E+018,America/Denver
4.4743273391429E+018,America/Denver
1.54169509770418E+018,America/Denver
5.16888506280008E+018,America/Denver
8.28534658703474E+018,America/Denver
5.1811715000581E+018,America/Denver
6.57526644622261E+018,America/Denver
1.67841502486224E+018,America/Denver
9.11108762862443E+018,America/Denver
6.20428476341853E+018,America/Denver
3.8817600785208E+018,America/Denver
7.2921166090465E+018,America/Denver
4.65259512999926E+018,America/Denver
4.49016826269972E+018,America/Denver
7.25056167909539E+018,America/Denver
2.70991451907817E+016,America/Denver
7.70042643021009E+018,America/Denver
7.68981579242282E+018,America/Denver
5.34942062508144E+017,America/Denver
4.18605599464521E+018,America/Denver
7.61150016862176E+017,America/Denver
9.00776631302752E+018,America/Denver
7.13198371694394E+018,America/Denver
2.41858546252891E+018,America/Denver
2.68048983932541E+018,America/Denver
2.92177020475236E+018,America/Denver
4.71422510625034E+018,America/Denver
8.44569507958367E+018,America/Denver
8.23801822369278E+018,America/Denver
2.21756533120293E+018,America/Denver
8.44537216406496E+018,America/Denver
8.31689484489706E+018,America/Denver
3.67613926896529E+018,America/Denver
4.30177229817746E+018,America/Denver
8.28180578754904E+018,America/Denver
8.01818654149668E+018,America/Denver
4.38211834407243E+018,America/Denver
6.83328663655159E+018,America/Denver
2.59961132104905E+018,America/Denver
5.17268334092653E+018,America/Denver
2.44457178385672E+018,America/Denver
4.64344448013589E+017,America/Denver
5.53148995159252E+018,America/Denver
7.71766052230587E+018,America/Denver
8.44215593053856E+018,America/Denver
1.40615202154853E+018,America/Denver
2.74391768302437E+018,America/Denver
1.26331322186435E+018,America/Denver
6.03307892709322E+018,America/Denver
5.32476413052995E+018,America/Denver
5.96324429099041E+018,America/Denver
6.04577241257856E+016,America/Denver
2.4854996005676E+018,America/Denver
7.07927446782479E+018,America/Denver
1.75910076681185E+018,America/Denver
5.95348270222881E+018,America/Denver
7.78213540663994E+018,America/Denver
6.56170330227281E+018,America/Denver
2.71661012207212E+018,America/Chicago
5.34719033283209E+018,America/Chicago
8.35833873190229E+018,America/Chicago
7.49474176847099E+018,America/Chicago
5.87136904188119E+018,America/Chicago
4.09363786973334E+018,America/Chicago
4.944536771766E+018,America/Chicago
5.63844826760021E+018,America/Chicago
6.0776602935036E+018,America/Chicago
1.58406589678859E+017,America/Chicago
7.61482414904976E+018,America/Chicago
4.98078188623229E+018,America/Chicago
1.48795032015504E+017,America/Chicago
7.04890583339558E+018,America/Chicago
3.5205437617894E+018,America/Chicago
7.70078263938856E+018,America/Chicago
8.03220394364224E+018,America/Chicago
3.51169743974639E+018,America/Chicago
5.41109969542482E+017,America/Chicago
2.24364519614792E+018,America/Chicago
8.13875316122577E+018,America/Chicago
4.56447657546713E+018,America/Chicago
2.74540513104392E+018,America/Chicago
3.67590061114713E+017,America/Chicago
4.39226253230421E+018,America/Chicago
8.20480205297291E+018,America/Chicago
8.26042525171783E+018,America/Chicago
2.72337067211641E+018,America/Chicago
4.32859146518702E+018,America/Chicago
5.01332082213655E+018,America/Chicago
7.31542469679823E+018,America/Chicago
8.45563099930448E+016,America/Chicago
5.50122315508229E+018,America/Chicago
7.08257851170083E+018,America/Chicago
3.73506264464495E+018,America/Chicago
6.88505558409559E+018,America/Chicago
2.73950659197604E+018,America/Chicago
7.57026936874535E+018,America/Chicago
3.88015104586471E+018,America/Chicago
3.90496961759274E+018,America/Chicago
6.2934474737181E+018,America/Chicago
9.09318419966436E+018,America/Chicago
3.63935724713214E+018,America/Chicago
4.45251106181563E+018,America/Chicago
4.30287685441536E+018,America/Chicago
9.18754700709054E+018,America/Chicago
6.10212961887286E+018,America/Chicago
6.82866459264857E+018,America/Chicago
4.29479697639064E+018,America/Chicago
2.7994127559428E+018,America/Chicago
5.2285239732351E+018,America/Chicago
7.78723341343636E+018,America/Chicago
8.76706858605988E+018,America/Chicago
6.04720565042142E+018,America/Chicago
1.65354650550989E+018,America/Chicago
2.43519642094292E+018,America/Chicago
2.35775737112053E+018,America/Chicago
4.04347378606512E+017,America/Chicago
7.92034299318617E+018,America/Chicago
1.74993480360445E+018,America/Chicago
4.68366023819754E+018,America/Chicago
5.90843890890025E+017,America/Chicago
8.51842087731555E+018,America/Chicago
8.17458290123681E+018,America/Chicago
1.24767967016322E+018,America/Chicago
2.09345940657013E+018,America/Chicago
6.55243335262412E+018,America/Chicago
5.12806922224597E+018,America/Chicago
5.6171476412338E+018,America/Chicago
2.32892257754922E+018,America/Chicago
8.90229970296589E+018,America/Chicago
5.77227524846001E+018,America/Chicago
7.70967270488967E+018,America/Chicago
1.5689384910084E+018,America/Chicago
7.59827583195108E+018,America/Chicago
5.48474048218621E+018,America/Chicago
4.27074406966028E+018,America/Chicago
5.93475670687646E+018,America/Chicago
5.33226948908854E+018,America/Chicago
2.8217162183272E+018,America/Chicago
2.14138502702168E+018,America/Chicago
2.10784551188373E+018,America/Chicago
5.64521841821507E+018,America/Chicago
3.12138354739113E+018,America/Chicago
8.47071415298903E+018,America/Chicago
1.14221795698927E+018,America/Chicago
6.94029766589061E+018,America/Chicago
4.37849206594031E+018,America/Chicago
4.66814707819515E+018,America/Chicago
1.26558661969856E+018,America/Chicago
4.10877197745724E+018,America/Chicago
4.42221075012068E+017,America/Chicago
1.13329784183963E+018,America/Chicago
4.39372655980751E+018,America/Chicago
2.57050304663643E+018,America/Chicago
2.74181390240509E+018,America/Chicago
1.14275044024651E+017,America/Chicago
3.43029184568429E+018,America/Chicago
2.78983541751275E+018,America/Chicago
6.56157453715182E+018,America/Chicago
9.65621120229635E+016,America/Chicago
7.53541236609755E+018,America/Chicago
3.58766586494624E+018,America/Chicago
2.6016235415094E+018,America/Chicago
7.51654284638531E+018,America/Chicago
3.51085115683207E+018,America/Chicago
7.73525388000956E+018,America/Chicago
4.62472575826178E+018,America/Chicago
3.26149971168347E+018,America/Chicago
8.9132951129527E+017,America/Chicago
8.39527810063156E+018,America/Chicago
2.54336149949386E+018,America/Chicago
1.35206743897187E+018,America/Chicago
8.15857442550369E+018,America/Chicago
9.78662904734234E+017,America/Chicago
8.28441997582345E+018,America/Chicago
4.56880447777528E+018,America/Chicago
3.33401886162395E+018,America/Chicago
5.8693597935506E+018,America/Chicago
3.96730840380797E+018,America/Chicago
7.91568911094115E+018,America/Chicago
5.74992229663515E+018,America/Chicago
8.49474973166857E+018,America/Chicago
9.1257691934361E+018,America/Chicago
8.80406081423197E+018,America/Chicago
6.76247514957472E+018,America/Chicago
8.56756870205655E+018,America/Chicago
2.06263217599459E+018,America/Chicago
2.32699810140362E+018,America/Chicago
3.47629765241333E+018,America/Chicago
8.7692440680323E+018,America/Chicago
1.28136987088906E+018,America/Chicago
7.48422865955186E+018,America/Chicago
5.19448084041917E+018,America/Chicago
7.91304839403113E+018,America/Chicago
7.10762967284849E+018,America/Chicago
7.10113368177074E+018,America/Chicago
5.2856772292478E+018,America/Chicago
2.44738415587715E+018,America/Chicago
